[INFO] [20160918_14:20:00.644] [11]: STARTING SERVER ... 
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_r_small [price = $ 30.00, tier = RESIDENTIAL, data usage = 5]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_r_medium [price = $ 70.00, tier = RESIDENTIAL, data usage = 20]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_r_large [price = $ 100.00, tier = RESIDENTIAL, data usage = U]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_s_small [price = $ 500.00, tier = SMB, data usage = 1000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_s_medium [price = $ 2000.00, tier = SMB, data usage = 3000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_s_large [price = $ 3000.00, tier = SMB, data usage = U]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_c_small [price = $ 3000.00, tier = COMMERCIAL, data usage = 5000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_c_medium [price = $ 5000.00, tier = COMMERCIAL, data usage = 15000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: att_c_large [price = $ 8000.00, tier = COMMERCIAL, data usage = U]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_r_small [price = $ 30.00, tier = RESIDENTIAL, data usage = 5]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_r_medium [price = $ 70.00, tier = RESIDENTIAL, data usage = 20]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_r_large [price = $ 100.00, tier = RESIDENTIAL, data usage = U]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_s_small [price = $ 500.00, tier = SMB, data usage = 1000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_s_medium [price = $ 2000.00, tier = SMB, data usage = 3000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_s_large [price = $ 3000.00, tier = SMB, data usage = U]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_c_small [price = $ 3000.00, tier = COMMERCIAL, data usage = 5000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_c_medium [price = $ 5000.00, tier = COMMERCIAL, data usage = 15000]
[INFO] [20160918_14:20:00.691] [11]: Created Plan: tm_c_large [price = $ 8000.00, tier = COMMERCIAL, data usage = U]
[INFO] [20160918_14:20:00.785] [11]: SERVER STARTED
[INFO] [20160918_14:20:21.459] [21]: Added User: varunraj.mit@gmail.com [Varun, Raj]
